"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"200241","N/D","SCS1","DEF EMERGENCY OPERATIONS CENTRE - COVID19","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","1737580","0.65","N/A","N/A","","Science and Engineering","LONDON","","1"
"200243","N/D","SCS1","DEF Strat Business Relationship Man","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200264","1742499","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200244","N/D","SCS1","DEF HR BUSINESS MANAGEMENT AND SPECIALIST SERVICES","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","1002655","1.00","N/A","N/A","","Human Resources","WEST MIDLANDS","","1"
"200246","N/D","SCS1","DEF IMPORTS, EXPORTS & EU TRADE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","3261739","1.00","N/A","N/A","","Veterinary","LONDON","","1"
"200251","N/D","SCS1","DEF GIO Resources","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200181","0","1.00","N/A","N/A","","Digital  Data and Technology","SOUTH WEST","","1"
"200252","N/D","SCS1","DEF COMMUNICATIONS CAMPAIGNS","Communications","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COMMUNICATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","902833","1.00","N/A","N/A","","Communications","LONDON","","1"
"200253","N/D","SCS1","DEF DEFRA GROUP SHARED SERVICE TEAM","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GCS STRATEGY, PARTNERSHIPS AND OPERATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","2385404","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200260","N/D","SCS1","DEF DDTS - CROSS CUTTING NON-TECHNICAL","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","0","1.00","N/A","N/A","","Digital  Data and Technology","YORKSHIRE AND THE HUMBER","","1"
"200263","N/D","SCS1","DEF FLS-ODA STAFF MARINE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","OFFICIAL DEVELOPMENT ASSISTANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","0","0.90","N/A","N/A","","Policy","LONDON","","1"
"200265","N/D","SCS1","DEF STRATEGIC FINANCE TEAM","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","599746","1.00","N/A","N/A","","Finance","SOUTH WEST","","1"
"200266","N/D","SCS1","DEF FOOD SUPPLY CHAIN ADJUDICATORS OFFICE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200077","0","0.60","N/A","N/A","","Missing Data","LONDON","","1"
"200269","N/D","SCS1","DEF FORESTRY","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200140","2371157","1.00","N/A","N/A","","Policy","YORKSHIRE AND THE HUMBER","","1"
"200277","N/D","SCS1","DEF HSS & WELLBEING WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","1355357","1.00","N/A","N/A","","Property","NORTH EAST","","1"
"200279","N/D","SCS1","DEF EA BUSINESS FINANCE OPERATIONS","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","0","1.00","N/A","N/A","","Finance","LONDON","","1"
"200280","N/D","SCS1","DEF SCIENCE PROJECTS - MASTERPLAN / SCAH","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","NATIONAL BIOSECURITY CENTRE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200029","0","1.00","N/A","N/A","","Project Management Delivery","SOUTH EAST","","1"
"200281","N/D","SCS1","Office of the Director of Analysis","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200067","1691998","0.69","N/A","N/A","","Operational Research","NORTH EAST","","1"
"200282","N/D","SCS1","Office of the Director of Analysis","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200067","0","0.68","N/A","N/A","","Economic","LONDON","","1"
"200285","N/D","SCS1","DEF NE Finance","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","750909","1.00","N/A","N/A","","Finance","YORKSHIRE AND THE HUMBER","","1"
"200286","N/D","SCS1","DEF INTERNATIONAL NATURE, CLIMATE & DEVELOPMENT","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","656783","1.00","N/A","N/A","","Policy","LONDON","","1"
"200287","N/D","SCS1","DEF INTERNATIONAL STRATEGIC ENGAGEMENT AND MULTILATERALS","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","1442516","1.00","N/A","N/A","","Policy","LONDON","","1"
"200288","N/D","SCS1","News and External Communications","Communications","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COMMUNICATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","1504934","1.00","N/A","N/A","","Communications","LONDON","","1"
"200289","N/D","SCS1","Marine and Fisheries Evidence","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","2446333","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200293","N/D","SCS1","DEF INTERNATIONAL NATURE, CLIMATE & DEVELOPMENT","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200180","29715","1.00","N/A","N/A","","Policy","LONDON","","1"
"200295","N/D","SCS1","DEF FOOD SUPPLY CHAIN ADJUDICATORS OFFICE","Commercial","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200077","0","0.60","N/A","N/A","","Property","NORTH EAST","","1"
"200296","N/D","SCS1","DEF DEFRA TRANSFORMATION","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","2488937","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200298","N/D","SCS1","DEF EU EXIT ENV GOV BODY AND STATEMENT OF ENV PRINCIPLES","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","0","1.00","N/A","N/A","","Policy","SOUTH WEST","","1"
"200299","N/D","SCS1","DEF SCIENCE WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","1625489","1.00","N/A","N/A","","Operational Delivery","SOUTH EAST","","1"
"200300","N/D","SCS1","DEF RUN & MAINTAIN WORKFORCE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","4329578","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200302","N/D","SCS1","Water Services","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","0","1.00","N/A","N/A","","Policy","UNKNOWN","","1"
"200304","N/D","SCS1","DEF ADII BUSINESS MANAGEMENT","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200234","1014825","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200305","N/D","SCS1","DEF ADII BUSINESS MANAGEMENT","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200234","1043898","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200306","N/D","SCS1","DEF GCS DATA AND ANALYTICS","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GCS STRATEGY, PARTNERSHIPS AND OPERATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1259775","1.00","N/A","N/A","","Digital  Data and Technology","YORKSHIRE AND THE HUMBER","","1"
"200308","N/D","SCS1","DEF SPS BORDERS AND BOUNDARIES","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","0","1.00","N/A","N/A","","Project Management Delivery","LONDON","","1"
"200309","N/D","SCS1","DEF EU DELIVERY","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","0","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200310","N/D","SCS1","DEF EUDP PROGRAMME MANAGEMENT AND PMO","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","0","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200311","N/D","SCS1","DEF F&W EVIDENCE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200139","1627808","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200312","N/D","SCS1","DEF HR WATER","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","0","1.00","N/A","N/A","","Human Resources","SOUTH WEST","","1"
"200313","N/D","SCS1","DEF COO & DG OFFICE WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","2097240","1.00","N/A","N/A","","Project Management Delivery","UNKNOWN","","1"
"200314","N/D","SCS1","Private Offices: Defra","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","1602429","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200315","N/D","SCS1","DEF Strat Business Relationship Man","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200264","0","0.92","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200317","N/D","SCS1","DEF EU EXIT EUIT ANALYSIS","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200316","2569697","1.00","N/A","N/A","","Economic","LONDON","","1"
"200318","N/D","SCS1","Animal and Plant Health Evidence Analysis","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200316","0","0.80","N/A","N/A","","Operational Research","YORKSHIRE AND THE HUMBER","","1"
"200320","N/D","SCS1","DEF EA BUSINESS FINANCE OPERATIONS","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","1186408","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200046","N/D","SCS1","DEF FBT AND PORTFOLIO FBP TEAM (CORE)","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","3263419","1.00","N/A","N/A","","Finance","SOUTH WEST","","1"
"200080","N/D","SCS1","DEF HR BUSINESS MANAGEMENT OFFICE","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","2050377","1.00","N/A","N/A","","Human Resources","YORKSHIRE AND THE HUMBER","","1"
"200131","N/D","SCS1","DEF EU EXIT ENVIRONMENTAL REGULATIONS PORTFOLIO","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200135","1289286","0.68","N/A","N/A","","Missing Data","LONDON","","1"
"200234","N/D","SCS1","DEF ADII BUSINESS MANAGEMENT","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","911205","1.00","N/A","N/A","","Digital  Data and Technology","EAST OF ENGLAND","","1"
"200283","N/D","SCS1","APHA HR","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","471809","1.00","N/A","N/A","","Human Resources","LONDON","","1"
"200284","N/D","SCS1","DEF EA HR","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","630556","1.00","N/A","N/A","","Human Resources","LONDON","","1"
